#redshift	imR	gmr	rmi	imz	Kcorr
0.5	-0.8643752266461967	1.9882455234912977	1.0103124556603285	0.4507685735591465	0.7594012277657651
0.535	-0.9466925810605565	1.9969811902287582	1.1115246565280592	0.46125437279191084	0.8982732042830215
0.5700000000000001	-1.0415920894783575	2.0045342991203348	1.2207414753538268	0.4809902922099862	1.046673605362276
0.605	-1.1351604366280843	2.042269081253618	1.2921660090945846	0.5080275488183503	1.2207212212238758
0.64	-1.2124481463666446	2.1068211253071927	1.358583363181435	0.5227511902376217	1.3701568192691935
0.675	-1.2807738710984098	2.228079399159131	1.423762353118213	0.5383548989551776	1.5181763972891424
0.71	-1.3324808766220075	2.2957811605986733	1.4876036360356544	0.5671081645728662	1.664578061671053
0.745	-1.3852448246054452	2.2482289156556483	1.5775063923541934	0.6050914225606556	1.8190669376317292
0.78	-1.4461832216373625	2.2038094948369165	1.5994669881248749	0.6659222242522602	2.015154713701895
0.815	-1.418709988932242	2.194374412217704	1.5725119104215541	0.7477256056718656	2.1321083105990235
0.8500000000000001	-1.3755744711394382	2.1830101687215273	1.5274115121852392	0.8320081844161358	2.239706142750719
0.885	-1.340477871624931	2.168413368684117	1.5058528729119023	0.9065386005969394	2.352214362516344
0.9199999999999999	-1.3391760698191615	2.119771336191471	1.5298915734501206	0.9814345315990955	2.482519018217982
0.9550000000000001	-1.348828698075545	2.003863693523381	1.5247173194783898	1.0513508297594036	2.6352200250071838
0.99	-1.350929996119914	1.8751816294319874	1.5516473623503662	1.10097171167229	2.7613194445116114
1.025	-1.3727253576797982	1.7550783673425094	1.5740766235418415	1.140225644855376	2.921772980567431
1.06	-1.4097806441543277	1.62283444186196	1.6293235204196437	1.1719146782895655	3.098231333708012
1.0950000000000002	-1.4484861208458344	1.5356960801717767	1.6466396373156902	1.197815269275668	3.2733954723677083
1.13	-1.4755793976078666	1.348551416407294	1.7272064091838348	1.2240293945621863	3.4365237220857625
1.165	-1.61587516988935	1.1867025450056992	1.8252966495816814	1.168979327364338	3.649685234938402
1.2000000000000002	-1.683975952019932	1.0123448930164662	1.9265933907196795	1.1181160477364596	3.796675186255845
1.2349999999999999	-1.7775942919395464	0.9112548767932589	1.9406022837925159	1.0765245372146341	3.9593960422963623
1.27	-1.7740912612713546	0.8128982971191208	1.9477771573115774	1.075540196880252	4.058797182262913
1.3050000000000002	-1.7801317545266655	0.6903684083444885	1.9603601369641797	1.0765002132854649	4.178243166358425
1.3399999999999999	-1.781257372440942	0.5658058727038666	1.9473596576863215	1.099930024981607	4.310499667641022
1.375	-1.7983170339823475	0.470728761482631	1.9620397525938547	1.0961050701046073	4.428005375781757
1.4100000000000001	-1.8062477371578076	0.40532737385491113	1.9543318784949175	1.1012427163514114	4.537949695709278
1.445	-1.8270766896143549	0.40267415326604106	1.8841513241192418	1.1000578722275138	4.670539107123559
1.48	-1.7712008564047597	0.4595118874427579	1.7628882769018146	1.105464907359137	4.7386494063857105
1.515	-1.6400960637696207	0.4983944994248302	1.611348736882205	1.204073588971209	4.743370978793235
1.55	-1.4913807525108327	0.5255796193260791	1.4889287909968154	1.2737429590116696	4.693452909072171
1.585	-1.30783375713236	0.5247388680726774	1.3151896038816164	1.4301632408703169	4.686759170647058
1.62	-1.1597986614599984	0.4728463797565712	1.222931023105279	1.487182709886636	4.66992171446347
1.655	-1.0619469546894327	0.46791055532635767	1.126145577273491	1.5362300663555808	4.695460171099306
1.6900000000000002	-0.9960905063796501	0.5496565752655315	1.0076917245786332	1.5357734797004716	4.723575775127797
1.7249999999999999	-0.9574902789235394	0.5838892848117806	0.918084176934134	1.5013424104989082	4.757979568163111
1.76	-0.8396385214365276	0.6094621468129003	0.8094838330849713	1.510644033880387	4.7331536204398565
1.795	-0.6810612297450819	0.6300379808158441	0.6769333783691821	1.5506666144298573	4.687493460473414
1.83	-0.5358700897043857	0.706684993928025	0.5391925013226372	1.5630942776956613	4.644868626285839
1.865	-0.4301474307861348	0.6947241503940021	0.4683835325461899	1.5511163844075049	4.6174700782862566
1.9000000000000001	-0.3336758656500413	0.6705064298468335	0.38725866553669824	1.5303945022301444	4.612944543401791
1.9349999999999998	-0.20634890533015923	0.6569265085258027	0.2844175844926962	1.533322907267745	4.59342709820044
1.97	-0.12619028714466363	0.6556858527721287	0.19137911143402875	1.4878607803864092	4.608554054353554
2.005	-0.06797456643938984	0.6292697704138157	0.1443144867236307	1.3855946800759358	4.628573985137935
2.04	-0.06730507062036437	0.6159801530850223	0.15719933675931252	1.2589057055955697	4.651487967845292
2.075	-0.07641937354919358	0.6353898153094371	0.15074409498767044	1.1445986578483542	4.677231597845502
2.1100000000000003	-0.11896894521381887	0.6083920675438443	0.18666329132952153	1.046839484826834	4.720973416104978
2.145	-0.19145045605925232	0.5345950695681414	0.2818489522377179	0.9626959547702495	4.76473794140401
2.1799999999999997	-0.21655018357618938	0.5079303150697362	0.291262964865387	0.9112588210948949	4.8129926366196125
2.215	-0.22997386520895263	0.48503501235913044	0.29559775093429136	0.8544100032933439	4.852008943071698
2.25	-0.2802500239908966	0.418454195448983	0.34616858905386133	0.7503984630165268	4.902861970584321
2.285	-0.3187432471778697	0.36928683347081664	0.3721525310603752	0.65513059846174	4.9496473782304236
2.3200000000000003	-0.30608252376551437	0.3637153763483768	0.3710881016310139	0.5733947947455399	4.944330933209875
2.355	-0.33407896765794487	0.3902125209104157	0.34814470400495956	0.48074169314290044	4.977544144505874
2.39	-0.37692465877549775	0.3129160570460529	0.46494652307113	0.3417807435516806	4.965206228347905
2.4250000000000003	-0.45884747729771475	0.24757940016333788	0.555944555174818	0.2067580007100463	5.010786419520593
2.46	-0.5395170214512128	0.22556326626102308	0.6058426714729811	0.10310401493812509	5.070151740159595
2.495	-0.5543965048662443	0.212974762422252	0.5989804126471898	0.06636440045036031	5.1023282516689505
2.53	-0.6005916203618805	0.14764382204263402	0.658738286147821	-0.004736453550876498	5.140107240349273
2.565	-0.6458428825614764	0.1344494916153396	0.6823081786511502	-0.022903751741868282	5.175593875959016
2.6	-0.6550326795153179	0.09747104178703042	0.7386178727564562	-0.07698032890504977	5.168805251985079
2.635	-0.7197246466721547	0.07340875087343152	0.7574559959215148	-0.05680038982088115	5.23106642194853
2.67	-0.7215209506131921	0.09497215981098847	0.6995223119837055	-0.03259611009501984	5.279646472078089
2.705	-0.6661588948535011	0.08766057749721068	0.6633298385776847	0.0012797345631310882	5.2788651237926345
2.74	-0.5960455661774937	0.11876913505237233	0.5933067150557967	0.025049853730605805	5.25291720194713
2.775	-0.5591080758113217	0.13017560603314796	0.5448698975845144	0.06296173792818346	5.2476314218740825
2.81	-0.4620163572351489	0.14399447751230846	0.4485135320546775	0.15388779540195274	5.225524490384921
2.845	-0.41354895434098143	0.13695928383336062	0.39624844950362514	0.2030555059091946	5.220131322017293
2.8800000000000003	-0.3558002521680745	0.0946462657918569	0.40730960735616495	0.24463823099411536	5.182477948293993
2.915	-0.3339104553801634	0.0414479434613577	0.4188976914801179	0.2706097872776304	5.174185637066238
2.9499999999999997	-0.3376261765573923	0.02380284927135244	0.39165030833997716	0.30199090091956327	5.209479568375151
2.985	-0.3299398048786294	-0.001525479609471572	0.3841278924200674	0.35334899683303955	5.216339678709624
3.02	-0.3242135991988694	-0.026512284421350073	0.377243672947679	0.4124314322292199	5.225690487021239
3.0549999999999997	-0.3576689631807538	-0.06251793856721187	0.4244528460468249	0.4035527515081906	5.237373879319712
3.09	-0.3637034017630294	-0.09520345770802	0.4366349129346437	0.4181216549373285	5.255475049991022
3.125	-0.3488528616925811	-0.10544703564599917	0.3865250683335722	0.46128110368013286	5.292581741921105
3.16	-0.2929072181539728	-0.11924273162699962	0.3203464815256447	0.5545980484205935	5.30201824892837
3.1950000000000003	-0.26192212722141217	-0.11700213346448744	0.27406562399108925	0.5934391864528068	5.304334376461482
3.23	-0.237984221537008	-0.142385179290342	0.2693370708405851	0.6397727442699377	5.296728235758734
3.265	-0.2229037063950286	-0.17217022411768063	0.27234635106422894	0.6526740365505469	5.292022154633542
3.3000000000000003	-0.22460867467446663	-0.1761218958385875	0.2583289102908582	0.626723204026079	5.300581971898145
3.335	-0.2276865573853182	-0.12958810814590338	0.21457592641567358	0.6210312904875246	5.3190729506914955
3.3699999999999997	-0.17496102409081937	-0.11778626168278404	0.14795348223794202	0.6223411015863496	5.313232277370912
3.405	-0.18814722610262624	-0.11224099834570624	0.16763332233227454	0.5712699320501887	5.312611265273127
3.44	-0.20045547571605438	-0.09755667316509989	0.18298975720925179	0.4875546907010073	5.297708254311822
