#  RA   Dec   redshift   u    g   r   i   z
34.37675139 -7.397867828 0.62 99.0 24.5404 22.8853 21.7813 21.2985
34.59869871 -7.396792449 0.54 27.3552 24.2692 22.9849 21.9322 21.4689
34.23618913 -7.396629151 0.57 25.7383 23.5686 22.0 21.0618 20.6482
34.54688852 -7.397372394 0.9 25.1163 24.1224 22.6582 21.6329 20.6301
34.17075423 -7.395695891 0.36 24.7223 23.2071 21.9235 21.3761 21.0189
34.58310807 -7.395400215 0.81 26.8911 25.3275 23.5772 22.2787 21.5316
34.08309516 -7.394975573 0.26 25.4505 23.73 22.5805 22.112 21.8554
34.96285022 -7.392411432 0.58 27.2046 24.5938 23.4787 22.313 21.8457
34.2783215 -7.392316863 0.7 25.6763 24.4799 23.0735 21.9139 21.5003
34.33362672 -7.391823797 1.06 24.5817 24.6846 23.339 22.262 21.3465
34.04181878 -7.391857544 0.51 25.6945 23.2158 21.6687 20.644 20.2417
34.18759442 -7.391246115 0.46 24.689 23.317 21.9187 21.2957 20.9026
34.88206233 -7.390611179 0.61 25.7379 24.3878 22.8005 21.9063 21.495
34.49314798 -7.387676179 0.61 26.4121 24.2769 22.7424 21.6491 21.2282
34.62194092 -7.387534352 0.21 25.3474 23.8479 22.8892 22.3828 22.2523
34.97010225 -7.387128497 0.58 25.7747 24.1383 22.7995 21.8007 21.401
34.64512042 -7.387093509 0.59 26.2852 24.0938 22.4569 21.3713 20.8944
34.40145006 -7.384501828 0.52 99.0 25.0026 23.3453 22.4433 22.1256
34.4530086 -7.384153731 0.25 23.9681 22.6109 21.5853 21.1585 20.896
34.37813067 -7.383946592 0.56 26.169 24.0007 22.4814 21.5021 21.1018
34.2832441 -7.383392323 0.7 25.0351 24.0022 22.7256 21.7421 21.2108
34.11256188 -7.38086744 0.52 25.4352 24.0612 22.7099 21.9546 21.5534
34.28984663 -7.380953245 0.66 25.6237 24.2939 22.8731 21.9023 21.3349
34.57131529 -7.379100725 0.51 26.2165 24.0682 22.6109 21.7972 21.4035
34.69803687 -7.378494911 0.76 26.2711 25.0518 23.6048 22.2488 21.7759
34.72094375 -7.376104093 0.72 26.1842 24.6333 23.308 22.0902 21.435
34.89251787 -7.375769878 0.54 27.3221 23.9187 22.5245 21.5738 21.0979
34.36670829 -7.376111938 0.78 24.8987 23.8861 22.3283 21.0892 20.643
34.06628967 -7.375208069 0.8 25.2294 24.0561 22.9957 21.8045 21.0686
34.16106006 -7.366327214 0.74 25.9015 24.9204 23.4232 22.3482 21.9053
34.15971584 -7.366712312 0.59 27.2078 24.3476 22.8086 21.6011 21.3019
34.02289481 -7.365227317 0.2 24.8759 23.4318 22.5413 22.1778 21.93
34.5995342 -7.365944395 0.64 99.0 23.9408 22.3667 21.1165 20.6426
34.62573846 -7.365469929 0.67 26.1921 24.8672 23.2585 22.1909 21.8163
34.2794349 -7.364860259 0.62 26.8756 24.7401 23.2297 22.1361 21.6235
34.8655525 -7.365192312 0.88 26.9789 25.5372 23.3442 22.0372 21.223
34.51751964 -7.364522509 0.73 25.1712 24.1194 22.857 21.7553 21.2292
34.30418073 -7.364573721 0.48 24.698 23.1459 21.8562 21.1153 20.7984
34.71989166 -7.364124748 0.78 25.2336 24.1211 22.7113 21.3712 20.8542
34.40596194 -7.363650227 0.57 25.6019 23.5026 21.9004 20.9432 20.5498
34.20807959 -7.364064939 0.65 24.4148 23.0072 21.6862 20.6218 20.1327
34.65292605 -7.364704745 0.6 25.4174 23.314 21.795 20.6876 20.2696
34.06939567 -7.362870538 0.46 25.4288 23.7519 22.3551 21.664 21.3011
34.79754067 -7.362638585 0.79 26.7362 25.3589 23.6114 22.3698 21.8172
34.81457445 -7.363458778 0.74 25.3696 24.0353 22.5147 21.2376 20.7625
34.66365279 -7.36225485 0.79 25.4647 24.4764 22.9836 21.6916 21.2055
34.12096115 -7.362615513 0.31 25.0543 23.1136 21.9058 21.3557 21.0012
34.13616003 -7.361620592 0.3 25.7158 23.8211 22.6974 22.1236 21.8946
34.66951576 -7.362141328 0.45 24.1727 22.7277 21.5272 20.8271 20.5798
34.34898251 -7.360172666 0.72 26.2323 24.7295 23.3024 21.9587 21.5005
34.82068557 -7.35962201 0.33 24.0083 22.6655 21.6036 21.0831 20.6997
34.90890636 -7.356375349 0.75 26.4154 24.961 23.6524 22.3352 21.67
34.16058784 -7.356600396 0.63 26.722 24.8783 23.5001 22.2202 21.9529
34.17585905 -7.357672839 0.54 24.3094 23.1792 21.7626 21.0858 20.6574
34.16055614 -7.355377764 0.48 99.0 24.4777 23.1712 22.3374 21.9718
34.44115885 -7.35473966 0.95 25.2797 24.789 23.2411 22.0353 21.3997
34.47981139 -7.354094528 0.21 23.6852 22.2236 21.2461 20.8141 20.5533
34.44054483 -7.353158344 0.53 26.5929 24.0768 22.6232 21.5511 21.1218
34.54770044 -7.351762532 0.66 99.0 24.7457 23.3345 22.1183 21.3857
34.50643275 -7.349442173 0.57 24.9965 23.4428 21.9447 21.0222 20.6294
34.67692736 -7.347196681 0.87 25.6746 24.9103 23.5552 22.4267 21.7605
34.61383736 -7.347152324 0.22 23.3958 21.9168 20.9236 20.4123 20.1517
34.85822031 -7.346558086 0.86 25.8523 24.8915 23.7637 22.4718 21.7443
34.48203557 -7.347674348 0.64 24.1875 23.2485 21.9021 21.0027 20.6417
34.0812747 -7.346032326 0.77 26.311 24.8104 23.1896 21.7779 21.2434
34.8261506 -7.346787395 0.17 22.8017 21.2597 20.361 19.9241 19.6662
34.30865276 -7.34622326 0.76 24.6788 23.6713 22.6057 21.4913 20.944
34.45733938 -7.34538177 0.59 26.3039 24.0928 22.5741 21.492 21.1035
34.64699483 -7.345112159 0.59 26.4483 24.218 22.6833 21.6747 21.1646
34.82750642 -7.343567249 1.17 25.4869 25.0332 23.7418 22.4929 21.5668
34.42508594 -7.344653053 0.7 24.3424 23.1783 21.8943 20.6771 20.3085
34.91303484 -7.344088168 0.8 25.323 24.3149 23.0241 21.8092 21.1739
34.42880889 -7.343436155 0.59 25.6461 23.5217 22.0586 20.994 20.5235
34.1423947 -7.342467698 0.69 25.6047 24.5575 23.2272 22.16 21.7653
34.76921243 -7.34351005 0.5 23.9431 22.3209 20.8779 20.113 19.6629
34.27251399 -7.34144219 0.89 26.5555 25.3409 23.466 22.2014 21.2686
34.11414695 -7.34284993 0.42 23.174 -99.0 20.5937 20.0112 19.7472
34.94505603 -7.341571009 0.79 99.0 24.79 23.0638 21.7935 20.7584
34.61263924 -7.341924306 0.68 99.0 24.2131 22.5511 21.2548 20.7394
34.87828838 -7.341069342 0.83 26.2511 25.062 23.4603 22.348 21.5498
34.40265806 -7.339618416 0.7 99.0 24.87 23.2521 21.954 21.345
34.72295396 -7.339770353 0.26 23.643 22.0897 20.9331 20.43 20.1221
34.57476876 -7.338328085 0.56 99.0 24.9071 23.4301 22.3803 21.9463
34.35665009 -7.338112564 0.67 27.0892 24.8177 23.2105 21.9825 21.4284
34.02448924 -7.331490923 0.54 27.2975 24.6511 23.1206 22.122 21.641
34.62541508 -7.328774228 0.52 25.9079 24.0721 22.5587 21.6139 21.2769
34.10708119 -7.328152003 0.47 25.7445 23.4693 21.8399 20.9504 20.5601
34.11191105 -7.328311351 0.48 24.2761 22.8059 21.3423 20.5647 20.291
34.72588428 -7.325932912 0.7 25.2247 23.9036 22.7782 21.5657 21.1382
34.62465786 -7.327047539 0.48 24.0169 22.0405 20.6353 19.7419 19.459
34.37949038 -7.325111687 0.52 25.6023 23.861 22.4433 21.6263 21.2255
34.58940635 -7.324185664 0.54 24.483 22.6416 21.0963 20.1424 19.7173
34.60145367 -7.322260382 0.62 26.4382 24.4443 23.0242 21.9155 21.4201
34.50566716 -7.321558559 0.61 99.0 25.0044 23.3085 22.2776 21.7372
34.87610895 -7.321230799 0.79 27.033 25.28 23.645 22.355 21.5745
34.19843744 -7.320262265 0.72 25.2364 23.8006 22.4114 21.1399 20.5883
34.12295323 -7.319574666 0.62 25.9084 24.4241 23.138 22.0305 21.6972
34.84479683 -7.319759505 0.45 24.4763 23.0328 21.7744 21.1648 20.7755
34.06476621 -7.317786008 0.51 25.6444 23.3033 21.7453 20.6787 20.2708
34.12935132 -7.315697796 0.84 25.5221 24.9666 23.4577 22.3149 21.8544
34.52123484 -7.314535544 0.23 24.6656 23.2078 22.2419 21.772 21.5022
34.76003761 -7.308982116 0.49 25.6549 23.5588 22.1674 21.3811 20.9761
34.70129397 -7.30970417 0.7 25.1138 23.5953 22.1962 20.9442 20.4155
34.50258229 -7.308221855 0.77 25.2436 24.3397 23.2422 22.1134 21.625
34.59023259 -7.307818295 0.72 99.0 25.0692 23.3333 22.002 21.4544
34.8800061 -7.306867028 0.33 23.6192 21.7812 20.389 19.7876 19.4898
34.90474332 -7.305072838 0.71 25.5746 24.4631 23.1484 22.0872 21.5465
34.80568886 -7.303725708 0.61 26.5441 24.4011 22.9637 21.7742 21.4206
34.08461384 -7.3031461 0.48 24.9763 23.6105 22.1439 21.4346 21.1568
34.94099814 -7.302954027 0.3 25.6244 24.0273 22.8539 22.3396 22.0695
34.30946802 -7.302547816 0.63 25.515 23.9164 22.7098 21.5675 21.1558
34.24689219 -7.303312191 0.46 23.9038 22.5479 21.2631 20.6484 20.2619
34.40583195 -7.300749012 0.62 99.0 25.1861 23.5895 22.4077 22.0077
34.16737795 -7.300724921 0.71 25.8453 24.7 23.5379 22.4605 21.9748
34.5036754 -7.300607571 0.49 25.6194 23.683 22.3913 21.4763 21.1751
34.19804678 -7.299488032 0.74 25.3358 24.4065 23.0624 21.9983 21.5214
34.23696251 -7.296431271 0.8 27.3225 25.2805 23.3812 22.1163 21.2987
34.12238223 -7.295643588 0.59 25.6713 24.6449 23.1347 22.4496 21.946
34.62605501 -7.296152394 0.69 25.7673 23.9282 22.2674 21.0617 20.571
34.62194577 -7.295774384 0.55 25.6644 24.4503 23.0719 22.3014 21.906
34.41123958 -7.293987728 0.75 26.4567 24.892 23.4674 22.2974 21.5279
34.62323007 -7.294969944 0.69 99.0 24.5896 22.7491 21.5121 21.0888
34.7768688 -7.291710126 0.71 26.4085 24.7876 23.5083 22.2932 21.6669
34.44036532 -7.28966487 0.7 27.4406 25.2967 23.7129 22.2329 21.8554
34.69689953 -7.288169796 0.76 26.2557 24.6446 22.9975 21.7679 21.1447
34.39013805 -7.287283265 0.53 25.351 23.8801 22.3919 21.5848 21.2238
34.80150233 -7.286798236 0.71 25.4086 24.22 23.1851 22.0908 21.6379
34.83951265 -7.287011632 0.32 25.0326 23.6314 22.4678 22.067 21.6363
34.73344082 -7.284857429 0.7 99.0 24.3946 22.7937 21.4239 20.882
34.36649509 -7.283199813 0.92 24.8483 24.381 23.0778 21.8183 21.3013
34.29731849 -7.282327079 0.83 99.0 25.6517 23.8192 22.4726 21.5412
34.30503571 -7.283391862 0.85 25.7302 24.3214 22.8364 21.6475 20.7205
34.79902742 -7.283347015 0.35 23.3026 21.9466 20.773 20.1974 19.8976
34.26108486 -7.279064993 0.77 25.3043 24.1565 22.8165 21.564 20.9827
34.25160987 -7.279326478 0.57 24.5057 23.0656 21.6519 20.739 20.3582
34.69970141 -7.278090452 0.71 25.7211 24.4132 23.3653 22.1783 21.7204
34.21750982 -7.277399594 0.7 25.5934 24.259 23.3976 22.3179 21.8994
34.58146334 -7.277291989 0.98 25.2133 24.8057 23.3339 22.0264 21.3523
34.93157045 -7.277303492 0.36 25.1411 23.0968 21.7228 21.0743 20.7631
34.16152298 -7.276866074 0.66 25.5386 23.728 22.2665 21.1106 20.6206
34.57902039 -7.276502737 1.39 25.1018 24.3917 23.6649 22.305 21.5539
34.93459706 -7.276700863 0.49 25.3685 23.7255 22.2839 21.5397 21.1415
