#redshift	imR	gmr	rmi	imz
0.5	-0.24482484666868795	0.010013946336537434	0.255390321988314	0.3345617764472274
0.535	-0.24539335874344995	0.00014959921575987236	0.25913927042281726	0.1434113234260451
0.5700000000000001	-0.250669549437553	-0.00683247439184778	0.2586319445719088	0.11726409269643814
0.605	-0.2378385308473002	-0.002435104051210994	0.2409262373327707	0.10947180933324491
0.64	-0.2363734805136836	-0.002681832463964197	0.23314704496881142	0.09159422962395718
0.675	-0.21145941032645793	0.012998954947485375	0.2041695774198487	0.11172313746305408
0.71	-0.16483558976170776	0.03260321809921452	0.1590434391400044	0.15886986152040794
0.745	-0.11059658761867514	0.05489761259867894	0.09993679586167226	0.19057701689870832
0.78	-0.049863211250570375	0.07330212414929042	0.04642309564836607	0.225990886933331
0.815	-0.030163634079362678	0.08232998623650584	0.038796194511913976	0.2287754890118256
0.8500000000000001	-0.011911268643670786	0.09896709111462275	0.018273336455544527	0.23532583227774329
0.885	0.0006839507829514725	0.11655221235379083	0.0041985007857657354	0.2269593446403232
0.9199999999999999	0.004199673176721127	0.13252146776486054	-0.0035494186759575585	0.22670460476228324
0.9550000000000001	0.017622362901850576	0.16538666393084134	-0.024579033783395536	0.22269739596702798
0.99	0.028154004477568797	0.227419592506391	-0.058849357730094476	0.19241652860812175
1.025	0.02997320401126062	0.24655758970065184	-0.05008981545014163	0.1489184051874717
1.06	0.04267623277589108	0.25006224079521244	-0.0316042402470187	0.07861660107991088
1.0950000000000002	0.03888397557414779	0.2429802971457965	-0.021246424109058228	0.06082503801685302
1.13	0.024046005127406428	0.23370572070891532	-0.0056940121112242234	0.0375975821232022
1.165	0.006564828721634549	0.2338661280308238	0.010706681536479972	0.012618511635308246
1.2000000000000002	-0.007576754614143774	0.23860399153565112	0.024630248089135064	-0.009313149894849012
1.2349999999999999	-0.022433101682572315	0.2458355032909153	0.03621577758439372	-0.017548035087857766
1.27	-0.028285247180333033	0.2547208087657911	0.04010450394614492	-0.026147259588684607
1.3050000000000002	-0.024785722712598747	0.26155196067835196	0.037396376534939164	-0.0342581221389246
1.3399999999999999	-0.022795320070294008	0.2649426765851106	0.0398436095582695	-0.030000331759179995
1.375	-0.027296458400426046	0.2665509508130114	0.05096182411501352	-0.022835256257068677
1.4100000000000001	-0.03941799054068614	0.2623024220778094	0.06315727354917818	-0.016703764422354685
1.445	-0.04740870174283292	0.2491832071388113	0.07667640872568612	-0.010134775737209585
1.48	-0.06226269716901371	0.22741028125244883	0.10299993091606466	-0.0065688455971339545
1.515	-0.1079567077473323	0.18504387737958136	0.1712238085241553	-0.02539173524677211
1.55	-0.15793749426053122	0.16051643669181337	0.20071542544079143	-0.024411938291258137
1.585	-0.18116953459391005	0.12774578583614452	0.21558942122862715	-0.017952917880146524
1.62	-0.19170948999140888	0.09982864780609972	0.21881450130626232	-0.0038784188977521806
1.655	-0.19525638798031114	0.09323493550877435	0.21698831516629294	0.005406552358964756
1.6900000000000002	-0.19827510784512425	0.08806528481487794	0.21996461733579664	0.009999999842831484
1.7249999999999999	-0.2037414036348015	0.081629333161218	0.22657570406667843	0.011953076143641115
1.76	-0.21201383255176356	0.07651705968527071	0.23756475969560886	0.010817820748198224
1.795	-0.22435077978166845	0.07030638597326519	0.2509717820512669	0.013389276879574497
1.83	-0.2385138007233356	0.06612803921307407	0.2626042430355404	0.013589462433248909
1.865	-0.24705518174031627	0.06761322084687785	0.2620132127301315	0.015813184096639267
1.9000000000000001	-0.25415096827520295	0.09344452994293694	0.24817347743742263	0.021804148202399426
1.9349999999999998	-0.2586898844274486	0.11186597406544543	0.23922239220808775	0.03876435877629466
1.97	-0.25090647792221515	0.12170450205948294	0.23202749088791333	0.0736458793215935
2.005	-0.2241145054583159	0.12309774102267114	0.224885421895632	0.0923719171911658
2.04	-0.18841370817541278	0.12311362372088824	0.20116118279216566	0.12189295222115858
2.075	-0.16456648862499224	0.12245775473817705	0.1798796008556085	0.14276641906745294
2.1100000000000003	-0.15131868168784934	0.12654635495589142	0.1658649067911748	0.15108577490602382
2.145	-0.14066680100782997	0.13269448134920853	0.1528723055520272	0.159087871079163
2.1799999999999997	-0.1313688470287141	0.134521913940267	0.14227954433992562	0.1659515359612712
2.215	-0.1226632116194111	0.12859997182889488	0.13350767470315184	0.17470819657467807
2.25	-0.11198303302374603	0.10689464833177667	0.12474049271446207	0.18646039319499566
2.285	-0.10132178701739075	0.07671637867532137	0.11604721881218312	0.19876498597946407
2.3200000000000003	-0.09153391962648362	0.04649999006728839	0.10527007010902222	0.20811342278860756
2.355	-0.08434664116185378	0.04688852904309752	0.09649413444861649	0.21308586650132935
2.39	-0.07951094501795894	0.05794432034083574	0.08779770929027564	0.2177001279246309
2.4250000000000003	-0.07178967427761948	0.07127914549544304	0.07757638831530718	0.22538961261975796
2.46	-0.0612872526665673	0.0892904570020506	0.0651599406088387	0.22930818977609987
2.495	-0.047968062639151224	0.11050932295436267	0.05228914604318944	0.22859843222313586
2.53	-0.03544227628554171	0.1424348371622562	0.03383958457900268	0.216860286654533
2.565	-0.0263232076671391	0.20726113813549585	0.00026888736957378205	0.19565620110050988
2.6	-0.019860108435424576	0.25650895481688374	-0.02048091277571116	0.18706362564012563
2.635	-0.015380638600101993	0.27954179458611117	-0.021495124808554828	0.17681940861416126
2.67	-0.01438270183611566	0.2828874262925823	0.0034065414521528355	0.1566895270867262
2.705	-0.0070608904640775075	0.28140928328977194	0.034319885681921944	0.1352843503074335
2.74	-0.01740677018604252	0.2845573866761653	0.050214636577463376	0.12250171354211019
2.775	-0.030653453380992682	0.28725058290991445	0.06437731121764546	0.10864020372539177
2.81	-0.03999653212664555	0.292211831260587	0.07435648738320988	0.09668250427595618
2.845	-0.04759099936247333	0.2985692393600824	0.08050514153071904	0.08737745637816373
2.8800000000000003	-0.05332304179828759	0.30301998138323294	0.08456697298375926	0.07731987065971836
2.915	-0.05858924108428443	0.3155061448668022	0.08546953569211065	0.06809098745507652
2.9499999999999997	-0.06415509540718005	0.34182303505444267	0.08208668265466268	0.059752592748556974
2.985	-0.06965540270109448	0.36324877773920716	0.0821991088253507	0.05226591284186271
3.02	-0.07353525697932292	0.37685871761419415	0.08726106847805806	0.04428081540279191
3.0549999999999997	-0.0734619749083617	0.39251372910526117	0.09121469111879373	0.03704365253039357
