# ra  dec  z  mag_u  mag_g  mag_r  mag_i  mag_z
62.8981753893163  -0.244824046552615  0.38195  22.25772  21.11357  19.32823  18.68541  18.32029
63.0648077948077  -0.362114555007971  0.427698  23.7086  20.96212  19.3534  18.61354  18.2767
63.2042006569027  -0.233719152325082  0.292764  21.49447  19.9196  18.40173  17.81119  17.4313
63.5074724761287  -0.272447555012961  0.278961  23.53707  20.74897  19.25941  18.80077  18.45985
63.8872500953448  -0.309775060730736  0.320998  24.56207  20.52605  18.87698  18.33557  17.97706
64.1908051234653  -0.357568927123093  0.342133  23.33693  21.19819  19.4979  18.92941  18.60448
64.1017103632595  -0.224624339989773  0.313747  23.07398  20.05319  18.4399  17.83468  17.56423
64.0803145816119  -0.216577650904434  0.285473  23.27904  20.70831  19.21868  18.6949  18.35125
64.102334445798  -0.213597552135832  0.334449  24.54681  20.85339  19.15091  18.56041  18.36142
64.2068973701124  -0.284393549896977  0.446084  22.62546  20.80964  19.07411  18.30638  17.86452
64.3425591704583  -0.216015519537882  0.29276  21.42079  19.42746  17.81547  17.28535  16.92804
64.7412607089627  -0.402676072510839  0.269462  21.45927  19.7087  18.22367  17.69775  17.40436
64.6355600976888  -0.322693060213002  0.339927  25.03921  20.70522  19.09181  18.50162  18.1457
64.8307878042838  -0.326184298560754  0.292365  22.24608  20.13528  18.60027  18.03674  17.72728
65.1314803847021  -0.34876898350274  0.281043  22.6253  20.45761  18.92804  18.41059  18.09773
65.021926101761  -0.26058437370958  0.339085  22.72909  21.18869  19.52096  18.92363  18.62029
64.9991940106848  -0.259544615009412  0.287962  23.26347  20.59789  19.09663  18.58915  18.24377
65.2259369378324  -0.33390212625759  0.263261  20.60917  19.08625  17.59895  17.05612  16.6945
65.7319759631788  -0.244081283109206  0.349247  23.20116  20.90424  19.11348  18.51707  18.30716
65.6212089463448  -0.368563042607776  0.280792  22.65137  19.73981  18.19332  17.66349  17.32147
65.5834216451885  -0.381715554803164  0.351167  23.35426  21.04008  19.37315  18.7731  18.42643
65.5424483083783  -0.232816640935982  0.297463  21.97723  19.98365  18.4146  17.86149  17.58129
65.8791536004652  -0.254174671736763  0.296617  22.04875  19.49963  17.8873  17.28109  16.87881
66.0198810856905  -0.400377706626608  0.358669  22.44208  21.13857  19.28511  18.72524  18.33773
65.9998772531088  -0.231696658555442  0.283159  22.9632  19.77317  18.24904  17.67566  17.35834
66.1479010199682  -0.31929488104353  0.347516  22.59756  21.00959  19.35168  18.79372  18.3739
66.0871990397832  -0.343359982816219  0.357009  23.72697  21.13951  19.39293  18.80626  18.39927
66.1457797082484  -0.314898702743113  0.365009  23.38431  20.91908  19.07487  18.44737  18.10514
66.206530838761  -0.312980545491032  0.343523  23.79041  20.65984  18.87722  18.31979  17.93817
66.3105773529462  -0.309186572945335  0.283571  22.02447  20.1541  18.65012  18.0853  17.74502
66.2648997162981  -0.222580647651748  0.333837  21.73507  20.32762  18.65575  18.18204  17.81279
66.2655281164626  -0.222561924337644  0.313155  22.65245  20.16769  18.55373  17.93193  17.66467
66.5125085950119  -0.21598992670317  0.298823  21.77487  20.36967  18.8543  18.30462  17.95092
66.5595866383605  -0.367721820222846  0.330867  22.56483  20.31715  18.6126  18.0802  17.71267
66.5876095858747  -0.327228441070149  0.37529  23.49874  20.80525  19.0999  18.44483  18.099
66.736981318409  -0.301028753383907  0.311022  21.60093  19.83351  18.20128  17.68781  17.37489
66.7191762437905  -0.312057107708749  0.298219  23.15269  20.79831  19.30285  18.75428  18.39406
55.7170652517925  0.217693150406139  0.298563  21.84168  19.94671  18.352  17.81415  17.59402
57.0652967778006  0.174188828121268  0.29033  23.94638  20.08251  18.5181  17.96709  17.65827
57.0754439220431  0.0383648580097326  0.351772  21.71912  20.30166  18.32476  17.71997  17.41631
57.3184767593224  0.0473272892907254  0.33526  24.95609  20.79534  19.1298  18.52621  18.22975
57.263932861063  0.120685878419221  0.333989  21.79513  20.42743  18.77717  18.1914  17.84496
57.4870185375716  0.0991617486779088  0.330211  22.90443  20.38802  18.72739  18.13931  17.81518
57.6600765603984  0.0422298087189405  0.324593  22.3489  20.76246  19.12248  18.57518  18.33966
57.5382853410998  0.0968453426961147  0.270701  24.18712  19.76895  18.2582  17.71369  17.42206
58.0090232662567  0.169827224190714  0.360709  21.5627  20.72957  18.84952  18.25583  18.00314
58.1622325535145  0.131310286586573  0.332794  23.71125  20.9535  19.18898  18.64578  18.36943
58.3589679336322  0.152378484400596  0.266856  24.69157  19.69901  18.20351  17.67467  17.40092
58.3230721873306  0.121538130673623  0.350592  21.61265  20.45471  18.71349  18.10822  17.86082
58.3131451368787  0.123421313351585  0.34258  21.2299  20.33152  18.52906  17.9591  17.64828
58.2698989178363  0.131046789056156  0.339578  22.41086  20.43929  18.6772  18.11362  17.81125
58.697161029198  0.0600986177912086  0.348377  21.67551  20.91968  19.14244  18.63088  18.20624
58.9678834170994  0.0627102781836781  0.288864  23.19603  20.175  18.64909  18.08298  17.71743
59.136502686841  0.191064830473063  0.322448  25.33266  20.76404  19.17073  18.63307  18.30944
59.3933394750663  0.186148589472304  0.288006  23.35627  20.39231  18.87401  18.33704  18.11014
59.402383796585  0.0221982144072292  0.308034  23.61773  20.69771  19.13074  18.58179  18.28176
59.2994501030239  0.0584488286471877  0.33841  23.2575  20.795  19.10316  18.55804  18.1513
59.4304890469305  0.168679389544625  0.282136  24.71345  19.99299  18.46439  17.94062  17.61236
59.8715637923005  0.0589782329259237  0.366849  23.83048  21.18617  19.22596  18.60389  18.26021
59.8859485361701  0.209856517064726  0.336047  22.76211  20.32534  18.58956  18.02039  17.70175
59.7045067157957  0.038970841771945  0.322049  21.38791  20.19458  18.58392  18.04395  17.65518
60.0436060660029  0.18476653422661  0.237457  20.844  20.71084  18.3843  17.81528  18.09101
60.2802472496576  0.208876152516064  0.395755  24.13319  21.04215  18.99422  18.30451  17.89334
60.5742884068256  0.165528900064005  0.312113  21.63961  20.07311  18.48767  17.96601  17.70252
60.7536605346996  0.122867015806281  0.321698  21.38561  20.07162  18.37089  17.83899  17.52038
60.8632635242094  0.127446584599633  0.244071  21.68982  19.17166  17.69192  17.23085  16.92584
60.9355369342459  0.079787343511533  0.334387  24.13204  21.21488  19.4571  18.89704  18.59706
60.963691871572  0.0837629550277484  0.379746  22.27862  21.13341  19.2469  18.58701  18.37339
61.2105139280239  0.192275955101796  0.28874  24.21538  20.46876  18.95124  18.41716  18.09806
61.3418337897045  0.218302406598726  0.338503  23.62154  20.88036  19.17774  18.63331  18.17596
61.2806247233738  0.194440185943678  0.344207  23.98869  20.97717  19.35485  18.7629  18.42259
61.5348115072047  0.128686240650336  0.354064  22.84507  20.95445  19.28  18.6882  18.35857
61.6015232774492  0.11724056995017  0.370938  23.84291  21.01409  19.24208  18.63186  18.19125
62.0357347412477  0.0566785898953996  0.362925  24.84588  21.09557  19.31248  18.69384  18.33931
62.203266224354  0.108903702170866  0.336939  24.39512  21.06269  19.36178  18.80187  18.31311
62.1417576194294  0.0628137792259771  0.357821  22.48031  20.98213  19.08428  18.52158  18.10153
62.0838552559422  0.0340715258157312  0.310954  22.45358  20.68628  19.12699  18.56564  18.17146
62.2692162921611  0.0860151463392226  0.332763  23.39021  20.83614  19.13415  18.61003  18.2774
62.7361627462022  0.039306741644309  0.289119  22.84174  19.89391  18.27612  17.76442  17.48858
62.6940883933352  0.10285761090892  0.343449  21.83261  20.62748  18.934  18.39843  17.99219
63.0725395131245  0.189743650576209  0.39821  25.42832  20.64689  18.83969  18.13191  17.83961
63.3346813483871  0.206050597690502  0.332571  23.08513  20.58044  18.91528  18.3833  18.09899
63.5893018316106  0.040173534968921  0.356005  24.78273  21.1983  19.51305  18.8852  18.61984
63.5894742578269  0.0208797705590841  0.357482  21.56789  20.80187  19.00998  18.41313  18.075
64.4504931666919  0.0765912078715896  0.390037  22.49226  20.6998  18.77379  18.095  17.73684
64.504413770994  0.0221450063712001  0.330288  22.33699  20.58046  18.89771  18.34217  18.05336
64.4848605569549  0.0159953687214238  0.321695  22.84316  20.9664  19.32065  18.7887  18.40366
64.5825193013213  0.126426050674638  0.487397  22.80498  21.30889  19.55655  18.66744  18.31334
64.5780621021504  0.172185238247167  0.45986  23.3651  21.30988  19.50152  18.69008  18.26917
64.6038809811135  0.112533311183153  0.337827  23.13262  20.76287  19.00567  18.43114  18.10544
64.7017031777218  0.185895293914125  0.342713  23.075  21.14883  19.45521  18.88044  18.60306
64.9735989252098  0.0462744963349124  0.44772  22.41649  21.05746  19.33707  18.55701  18.09278
64.7446449679196  0.218111631384507  0.323679  25.17974  20.29619  18.60431  18.0518  17.76501
65.3504979707274  0.147183634162105  0.350117  24.9316  21.10746  19.31658  18.76327  18.34127
65.1631314531344  0.203481494165771  0.31344  22.91664  20.79062  19.2109  18.69137  18.33709
65.5836629093063  0.0550178616727233  0.358281  23.90564  20.99341  19.12292  18.55878  18.10197
65.5251022084088  0.0462149854465729  0.347684  22.7256  20.96974  19.25541  18.65524  18.36188
65.5866724602323  0.174482014461543  0.329283  22.06058  20.30762  18.55571  18.01099  17.72704
65.5048492024756  0.133518940080221  0.294596  22.7085  20.16634  18.60039  18.06757  17.69341
66.2449712720004  0.223693045211429  0.289071  22.31551  19.95285  18.44001  17.90443  17.66886
66.371156989382  0.150438153024499  0.271914  21.58816  19.57356  18.06877  17.51876  17.20316
66.1926300740355  0.113951094556904  0.370179  23.50004  20.83353  19.12407  18.45639  18.17186
66.6855921932868  0.137447151470115  0.431944  23.87223  20.75982  19.08405  18.339  17.94173
60.1210275931923  0.485730847402005  0.323541  21.34802  19.98134  18.31751  17.73361  17.49453
60.1622850295483  0.498390515473764  0.332614  21.10247  19.9077  18.20528  17.60637  17.30272
60.1412419015114  0.460497903295656  0.311333  23.74647  20.69671  19.01118  18.5062  18.1626
60.1867066043094  0.465953956046905  0.321065  21.46024  20.41935  18.73571  18.22484  17.95113
60.2459008329069  0.496969934217021  0.296078  21.13419  20.17211  18.48429  18.00995  17.76812
60.2705810592978  0.564106115758875  0.302451  22.4109  19.92765  18.31435  17.76579  17.50443
60.5976561477233  0.537602588902783  0.268857  22.85252  19.94909  18.46295  18.02548  17.74281
61.0378351502789  0.563159446043151  0.291509  22.72804  20.32281  18.7488  18.26653  18.06899
61.3087137190524  0.496167954822567  0.348431  23.73137  20.92366  19.09715  18.54951  18.11397
61.4215450053653  0.574228103699534  0.369937  25.12016  20.54982  18.83443  18.18871  17.83173
61.5473967098678  0.597940562922296  0.320531  24.20339  20.44459  18.81671  18.29492  17.89736
62.0691481080498  0.619626374079125  0.339434  24.22954  21.00002  19.35154  18.79776  18.53765
61.7256631737355  0.561307284345852  0.331153  22.3056  20.7322  19.07548  18.52635  18.34615
61.7059434788367  0.608934172210535  0.350191  24.94449  21.06806  19.34246  18.72218  18.51868
62.0452651364803  0.613699696259056  0.324766  21.43941  20.2608  18.73968  18.23259  17.88342
61.9893127454978  0.605372976266524  0.392045  22.25598  21.62417  19.79296  19.15404  18.82557
62.4463032999244  0.440008547298533  0.331691  24.88235  20.55724  18.93148  18.34917  17.98206
62.4965285421594  0.444376382694505  0.290566  22.67666  20.26257  18.7257  18.23094  17.9122
62.7485881271444  0.59795359476199  0.323085  23.6872  20.362  18.69345  18.11384  17.80508
62.9375697149658  0.540153036353686  0.348267  22.17425  20.73959  18.92792  18.34543  18.00175
63.089019178614  0.487870099439007  0.334405  22.42988  20.75052  19.09211  18.51787  18.22339
63.3684775170829  0.458680377463308  0.404719  21.94761  20.78921  19.02009  18.31578  17.97625
63.4745930651516  0.481606243585189  0.407859  24.17548  20.78382  19.09226  18.37343  18.04026
63.2801938847808  0.44683883894254  0.279618  23.29853  20.55082  19.0658  18.55691  18.21731
63.2808278341363  0.480520329506765  0.314366  21.65196  19.84987  18.21706  17.63365  17.27625
63.5614297574307  0.572613027180058  0.355746  22.84478  20.90845  19.13591  18.59178  18.13291
63.5579406190083  0.45459326991079  0.310057  21.88942  19.99098  18.41286  17.82649  17.47499
63.6755432662043  0.514910364078024  0.286356  21.41529  19.9  18.39193  17.80518  17.5394
64.0576734789584  0.505645802588109  0.350961  22.68073  20.77845  19.07907  18.53746  18.07727
64.0948343298537  0.622002016854472  0.332489  22.24237  20.56669  18.86142  18.32465  17.95817
64.2153769432577  0.607036499793795  0.329782  22.53857  20.6317  19.02452  18.41825  18.08043
64.2466832445888  0.465574022888091  0.334099  24.37948  20.37845  18.74939  18.12502  17.76569
64.4265606981716  0.446566618031097  0.398196  23.09999  21.00703  19.13396  18.44004  18.16449
64.8340761986822  0.518726669948625  0.337155  23.70578  20.89253  19.26692  18.68805  18.34563
64.8231861023667  0.515270861962576  0.338044  22.30382  20.78949  19.12672  18.58811  18.2586
64.7076866857227  0.508229006652419  0.329283  24.54346  20.88192  19.29942  18.72644  18.38957
64.8178723561504  0.594542275857331  0.38378  24.89607  20.18378  18.29501  17.62708  17.25603
64.8759265630057  0.497259466019286  0.349978  23.45492  21.21006  19.42067  18.85137  18.47817
64.915222174847  0.586952735878118  0.307101  22.39453  19.7784  18.11515  17.54749  17.28492
64.9386249969599  0.487479199911537  0.379892  23.90963  21.37839  19.49397  18.86779  18.4472
65.111289156557  0.529752112688363  0.326149  22.73908  20.13878  18.44209  17.86354  17.52576
65.1112079104968  0.529174879254751  0.342785  23.64377  21.11326  19.23512  18.72447  18.41883
65.2379984754433  0.564781265635992  0.342801  24.644  20.77671  19.06768  18.47882  18.21698
65.84674518705  0.438002344051959  0.37921  23.74707  20.88658  19.11251  18.43683  18.09417
66.4243263594965  0.559593338853009  0.291754  22.79268  19.83681  18.28341  17.7019  17.28938
66.6203889667852  0.552031798873942  0.276351  22.80455  20.40611  18.90913  18.38082  18.06242
66.7288158326829  0.546512119367218  0.274991  22.71252  20.07411  18.58099  18.02582  17.77329
66.7559696111666  0.594505911200967  0.347842  24.08853  21.1003  19.44269  18.82783  18.54431
66.7744317681228  0.590276037329097  0.355225  23.13016  20.98729  19.15104  18.58787  18.19071
50.7870270280504  0.884641148852621  0.303598  22.32385  19.71369  18.06742  17.52248  17.22449
55.1465236811345  1.01285939638772  0.367082  21.67137  20.8155  19.13567  18.51841  18.13144
54.9144789449469  1.04776456841817  0.375475  25.16321  21.08585  19.41821  18.78789  18.40894
55.1332124071358  0.882031038143843  0.277976  22.46383  19.77479  18.29027  17.82822  17.54281
55.1633631751384  1.03157411629955  0.311089  24.10888  20.85846  19.21675  18.64718  18.30812
55.3142657061438  0.857975876394523  0.375685  23.81034  20.69878  18.86296  18.18078  17.89292
55.3113230235092  1.0374994051697  0.353742  22.66919  20.56218  18.7304  18.14229  17.77818
55.3460497281164  0.929365292383577  0.332313  23.95775  21.04324  19.34789  18.79233  18.5448
55.5341911505606  1.04535443650879  0.32854  21.57627  20.21681  18.49582  17.97449  17.61444
55.8236268632795  1.04351993822284  0.522761  20.07439  23.50002  18.16389  16.79082  18.54673
55.6373760752733  0.882820567734617  0.228413  21.16587  19.13067  17.66863  17.22781  16.94941
55.5812636870843  1.04304822971597  0.269308  22.04276  19.74595  18.24741  17.71522  17.40236
55.8683395635509  0.933820706553545  0.293002  25.26795  20.8285  19.32527  18.8418  18.45505
55.8715896737895  0.949910874957483  0.333907  22.27457  20.26496  18.64643  18.11359  17.62944
56.0477941723586  1.01567010093026  0.310096  23.62155  20.49371  18.90598  18.34154  17.98304
56.0142257658802  0.915575420105901  0.33263  21.65699  20.44922  18.81326  18.21427  17.86346
56.2964721221151  0.994680383696749  0.345806  23.6754  20.77989  18.97992  18.40908  18.08275
56.1892553080426  0.997234145826047  0.3325  21.98512  19.96201  18.23697  17.63914  17.30451
56.29553500975  1.00075852169106  0.324953  23.00203  20.78952  19.07967  18.5978  18.18941
56.1704326404521  0.879549400594405  0.40064  22.15117  21.31331  19.43785  18.76984  18.33779
56.1648840646855  0.868824567760182  0.355688  22.37727  20.83274  19.04103  18.44806  18.09486
